Num dimensions,Ensemble Size,Total timer interrupt time,Filter time,Neuron update time,Data output time
1,10,0.0131143906,0.0014127004,0.0047964957,0.0039999581
1,20,0.0174023323,0.0014173461,0.0090711567,0.004001574
1,50,0.0293128776,0.0014077517,0.0218223739,0.0040027354
1,100,0.0497347712,0.0014098221,0.0421687242,0.0040029374
1,200,0.0910988278,0.0014400697,0.0833661411,0.0040044523
1,500,0.2152796197,0.0014127509,0.2072845007,0.0040036443
1,1000,0.4218942289,0.0014541584,0.4131451917,0.0040282868
1,2000,0.8367700998,0.0014570367,0.8269252805,0.0040295492
2,10,0.0185928465,0.0016204446,0.0056835237,0.0075109044
2,20,0.0231931114,0.0016411988,0.010269195,0.0075126718
2,50,0.0382084567,0.0016402393,0.0252470211,0.0075107025
2,100,0.0613139055,0.0016406433,0.0482599092,0.007510551
2,200,0.1090575852,0.0016674571,0.0958623996,0.0075120154
2,500,0.2537408132,0.0016224139,0.2403017782,0.0075123689
2,1000,0.4887394606,0.0016208485,0.4747444045,0.0075101975
4,10,0.0258195546,0.0020870861,0.007026185,0.0145564802
4,20,0.0315968005,0.00208138,0.0128081776,0.0145551673
4,50,0.0501920709,0.0020916813,0.0313318939,0.0145594091
4,100,0.0804524213,0.0021567718,0.0613676847,0.0145575407
4,200,0.1419074655,0.0020929438,0.1228747408,0.0145556723
4,500,0.3235452624,0.0020924893,0.3042061731,0.0145552178
8,10,0.0502045941,0.0029747201,0.0096252589,0.0285696141
8,20,0.0587214972,0.0029792648,0.0181471612,0.0285692102
8,50,0.0844964631,0.0029532084,0.0439597472,0.0285680992
8,100,0.1287030895,0.0029798708,0.088015085,0.0285680487
8,200,0.2158725539,0.0029873948,0.1750883529,0.0285682507
8,500,0.4759748618,0.0029206885,0.4350180119,0.0285688062
16,10,0.0919298548,0.004718478,0.0146724715,0.0566448639
16,20,0.1059722769,0.0047020161,0.028708935,0.0566467323
16,50,0.1476988001,0.0046890889,0.070478431,0.0566429451
16,100,0.2175956081,0.0047132769,0.1402533396,0.056644258
16,200,0.3560274246,0.004710954,0.2785605298,0.05664446
32,10,0.176005174,0.0081649904,0.0252395981,0.1128209149
32,20,0.2001074816,0.0081614556,0.0493494801,0.1128227328
32,50,0.2727121338,0.0081624656,0.1219462043,0.1128212179
32,100,0.3947081785,0.0081500938,0.2438931661,0.1128202585
64,10,0.3430431139,0.0150298379,0.0455960478,0.225130852
64,20,0.3878787798,0.0150491782,0.0903971233,0.225122722
64,50,0.5229466968,0.015035443,0.2254662017,0.2251215606
